hash_doc,gemma2-9b-it,llama3-70b-8192,llama3-8b-8192,mixtral-8x7b-32768
5359a8f70890,0.8240610361099243,0.889401912689209,0.845187783241272,0.8552016019821167
45439f4cdcd4,0.8613215684890747,0.9103323221206665,0.8354431390762329,0.9119960069656372
8c604371f445,0.8751412630081177,0.8302872180938721,0.8165156841278076,0.8602336645126343
44b45c43161e,0.7585110664367676,0.815137505531311,0.7798851728439331,0.8058186769485474
e955c85a818d,0.7691396474838257,0.8210357427597046,0.7746989130973816,0.8356719017028809
9cf44390c1e0,0.7754082679748535,0.7944257259368896,0.8230524063110352,0.7104712128639221
f2a2fc03865d,0.8918774724006653,0.859140157699585,0.8469820618629456,0.8210206031799316
8ed5bf2c6460,0.7960282564163208,0.8522295355796814,0.836810827255249,0.8423632383346558
63170414b2a4,0.8362107276916504,0.8739089965820312,0.8875607252120972,0.8573096394538879
725b8205d830,0.8155646324157715,0.7603961825370789,0.7944879531860352,0.7620121240615845
b76cd0cc1107,0.8827009201049805,0.8870651721954346,0.8536683917045593,0.8865955471992493
ecf0c6373070,0.8108168840408325,0.9180163145065308,0.9146913290023804,0.9141823649406433
a31dfed8e457,0.8874731063842773,0.9046096801757812,0.8949546813964844,0.9359760284423828
cde838b93bf2,0.8793494701385498,0.9065471887588501,0.8762285709381104,0.881301999092102
4287c5bdebd7,0.8452717661857605,0.8987722396850586,0.8734174966812134,0.8865885734558105
3fe4daa9999c,0.8215491771697998,0.9102698564529419,0.8755434155464172,0.8751367926597595
1b0eac613360,0.8676890730857849,0.874213695526123,0.8495315313339233,0.8280595541000366
7e74cc05b23c,0.8426676988601685,0.8860688209533691,0.8309664130210876,0.7658302187919617
81fd553a42e8,0.8359404802322388,0.8584450483322144,0.8554478883743286,0.8829436302185059
4f960a086cc3,0.8525587320327759,0.8512189388275146,0.8163948655128479,0.8009110689163208
55525eacb03b,0.7768770456314087,0.7831404209136963,0.7943094968795776,0.85601806640625
55ba865d2683,0.8378029465675354,0.837082028388977,0.771312952041626,0.870618462562561
1b753053818b,0.8885769844055176,0.9186890721321106,0.8544489145278931,0.8905782699584961
ff86589b369c,0.8718807697296143,0.8887982368469238,0.8890765905380249,0.8444859981536865
949a9e9b10d3,0.8610907793045044,0.889169454574585,0.8978258967399597,0.8871114253997803
9a88fc7b3e2d,0.8935328125953674,0.9140846729278564,0.9002802968025208,0.9035521745681763
98afe4a92d90,0.8293522596359253,0.8878505229949951,0.8929932117462158,0.8575408458709717
b761f0aa4c84,0.9173744916915894,0.8894023895263672,-0.1486518830060959,0.9131995439529419
f98ca567211b,0.8230808973312378,0.8827529549598694,0.871100127696991,0.8517048358917236
03d28eca0b9d,0.8384621739387512,0.8683531880378723,0.8409310579299927,0.8805583715438843
45732e1930a0,0.8452003002166748,0.7763633728027344,0.8612021207809448,0.8660938739776611
fedf9756a479,0.8540663719177246,0.8607401847839355,0.8436398506164551,0.7828853130340576
e890e5acaa22,0.8646138906478882,0.8351026773452759,0.8447271585464478,0.8725414276123047
12dabf02e082,0.8040465116500854,0.8079407215118408,0.8182584643363953,0.8354411125183105
